"","county","precinct","white_reg","black_reg","other_reg","test"
"149","BLADEN","P502",881,890,88,0
"150","BLADEN","P55",335,251,21,0
"151","BLADEN","P60",768,683,86,0
"152","BLADEN","P65",411,126,22,0
"153","BLADEN","P70",274,197,23,0
"154","BLADEN","P75",368,792,67,0
"155","BLADEN","P80",681,351,64,0
"156","BRUNSWICK","01",1235,544,100,0
"157","BRUNSWICK","02",4143,1180,355,0
"158","BRUNSWICK","03",950,580,134,0
"159","BRUNSWICK","04A",6564,817,504,0
"160","BRUNSWICK","04B1",2915,184,159,0
"161","BRUNSWICK","04C1",2355,380,193,0
"162","BRUNSWICK","05",3132,563,212,0
"163","BRUNSWICK","06",1163,367,70,0
"164","BRUNSWICK","07",2741,191,128,0
"165","BRUNSWICK","08",4331,322,170,0
"166","BRUNSWICK","09",1141,7,46,0
"167","BRUNSWICK","10A",2900,237,135,0
"168","BRUNSWICK","10B",4367,47,92,0
"169","BRUNSWICK","11",1550,892,106,0
"170","BRUNSWICK","12",2760,185,122,0
"171","BRUNSWICK","13",2991,419,175,0
"172","BRUNSWICK","14",4045,165,183,0
"173","BRUNSWICK","15",5169,299,241,0
"174","BRUNSWICK","16",4583,85,162,0
"175","BRUNSWICK","17",4676,970,211,0
"176","BRUNSWICK","18",1749,175,106,0
"177","BRUNSWICK","19",4055,98,144,0
"178","BRUNSWICK","20",3179,95,188,0
"179","BRUNSWICK","21",4299,143,231,0
"180","BRUNSWICK","22",2519,14,116,0
"181","BRUNSWICK","23",2504,15,117,1
"182","BUNCOMBE","",812,43,167,0
"183","BUNCOMBE","01.1",1548,447,218,0
"184","BUNCOMBE","02.1",2491,760,383,0
"185","BUNCOMBE","03.1",2270,241,253,0
"186","BUNCOMBE","04.1",1342,53,114,0
"187","BUNCOMBE","05.1",2521,24,160,0
"188","BUNCOMBE","06.1",1336,88,106,0
"189","BUNCOMBE","07.1",1658,178,148,0
"190","BUNCOMBE","08.2",1836,737,232,0
"191","BUNCOMBE","08.3",1806,669,214,0
"192","BUNCOMBE","09.1",2877,454,328,0
"193","BUNCOMBE","10.1",705,911,139,0
"194","BUNCOMBE","11.1",1200,481,251,0
"195","BUNCOMBE","12.1",1962,103,238,0
"196","BUNCOMBE","13.1",2001,406,276,0
"197","BUNCOMBE","14.2",1831,402,254,0
"198","BUNCOMBE","14.3",1303,198,177,0
"199","BUNCOMBE","15.1",2089,45,193,0
"200","BUNCOMBE","16.2",2518,226,312,0
"201","BUNCOMBE","17.1",1664,69,135,0
"202","BUNCOMBE","18.2",4588,155,401,0
"203","BUNCOMBE","19.1",1146,175,146,0
"204","BUNCOMBE","20.1",936,114,104,0
"205","BUNCOMBE","21.1",2248,321,172,0
"206","BUNCOMBE","22.2",2172,24,145,0
"207","BUNCOMBE","23.2",521,4,31,0
"208","BUNCOMBE","23.3",923,21,43,0
"209","BUNCOMBE","24.1",2299,125,189,0
"210","BUNCOMBE","25.1",2202,214,205,0
"211","BUNCOMBE","26.1",1707,122,169,0
"212","BUNCOMBE","27.2",782,7,39,0
"213","BUNCOMBE","28.1",2581,116,436,0
"214","BUNCOMBE","29.2",2724,179,224,0
"215","BUNCOMBE","30.2",2048,82,192,0
"216","BUNCOMBE","30.3",2610,86,200,0
"217","BUNCOMBE","31.1",1298,3,61,0
"218","BUNCOMBE","32.1",1918,41,101,0
"219","BUNCOMBE","33.2",1209,43,89,0
"220","BUNCOMBE","33.3",1869,107,114,0
"221","BUNCOMBE","34.1",1178,22,56,0
"222","BUNCOMBE","35.1",1548,147,108,0
"223","BUNCOMBE","36.1",1835,35,109,0
"224","BUNCOMBE","37.1",1337,5,73,0
"225","BUNCOMBE","38.2",1639,10,98,0
"226","BUNCOMBE","38.3",3050,89,204,0
"227","BUNCOMBE","39.2",1521,21,86,0
"228","BUNCOMBE","39.3",2412,17,156,0
"229","BUNCOMBE","40.2",3648,31,158,0
"230","BUNCOMBE","41.1",2877,28,154,0
"231","BUNCOMBE","42.1",1904,170,212,0
"232","BUNCOMBE","43.2",1502,154,199,0
"233","BUNCOMBE","44.1",4343,89,299,0
"234","BUNCOMBE","45.1",3797,99,234,0
"235","BUNCOMBE","46.1",1327,14,67,0
"236","BUNCOMBE","47.1",3968,43,211,0
"237","BUNCOMBE","48.1",3490,88,222,0
"238","BUNCOMBE","49.1",3935,51,243,0
"239","BUNCOMBE","50.1",1509,6,60,0
"240","BUNCOMBE","51.2",1991,19,86,0
"241","BUNCOMBE","52.1",3560,47,214,0
"242","BUNCOMBE","53.1",2871,39,133,0
"243","BUNCOMBE","54.2",2988,458,333,0
"244","BUNCOMBE","55.1",2867,180,193,0
"245","BUNCOMBE","56.2",2034,98,122,0
"246","BUNCOMBE","57.1",2692,82,179,0
"247","BUNCOMBE","58.1",1863,18,88,0
"248","BUNCOMBE","59.1",3435,50,175,0
"249","BUNCOMBE","60.2",1299,59,116,0
"250","BUNCOMBE","60.4",1425,17,85,0
"251","BUNCOMBE","61.1",2292,36,122,0
"252","BUNCOMBE","62.1",2287,79,166,0
"253","BUNCOMBE","63.1",561,6,22,0
"254","BUNCOMBE","64.1",1869,87,131,0
"255","BUNCOMBE","65.1",2985,57,280,0
"256","BUNCOMBE","66.1",1637,84,193,0
"257","BUNCOMBE","67.1",2353,29,137,0
"258","BUNCOMBE","68.1",3975,159,307,0
"259","BUNCOMBE","681",411,5,19,0
"260","BUNCOMBE","69.1",2787,85,194,0
"261","BUNCOMBE","70.1",2772,98,281,0
"262","BUNCOMBE","71.1",3694,39,237,0
"263","BURKE","",50,3,NA,0
"264","BURKE","0001",2781,189,170,0
"265","BURKE","0003",1096,19,38,0
"266","BURKE","0011",2642,29,145,0
"267","BURKE","0012",1775,7,49,0
"268","BURKE","0013",2609,31,117,0
"269","BURKE","0014",1918,6,90,0
"270","BURKE","0015",1361,16,77,0
"271","BURKE","0018",466,1,8,0
"272","BURKE","0019",535,28,15,0
"273","BURKE","0020",755,113,16,0
"274","BURKE","0021",1387,12,65,0
"275","BURKE","0022",1741,27,80,0
"276","BURKE","0024",2412,21,84,0
"277","BURKE","0029-A",1137,48,58,0
"278","BURKE","0029-B",1098,9,17,0
"279","BURKE","0031",1393,462,136,0
"280","BURKE","0034",1682,186,107,0
"281","BURKE","0035",1136,270,98,0
"282","BURKE","0036",1841,42,75,1
"283","BURKE","0038",1870,163,132,0
"284","BURKE","0039",1340,230,150,0
"285","BURKE","0040",1599,104,86,0
"286","BURKE","0047-A",1515,419,76,0
"287","BURKE","0047-B",1111,171,46,0
"288","BURKE","0048",1883,124,87,0
"289","BURKE","0051",2948,298,241,0
"290","BURKE","0052",1158,139,156,0
"291","BURKE","0053",2226,19,111,0
"292","BURKE","0062",812,22,10,0
"293","BURKE","0064",776,1,20,0
"294","BURKE","0065",1089,8,44,0
"295","BURKE","0066",1813,241,85,0
"296","BURKE","0070",2372,51,61,0
"297","CABARRUS","",23,4,NA,0
