,county,precinct,white_reg,black_reg,other_reg,test
151,CRAVEN,N1,1454,1007,116,0
152,CRAVEN,N2,841,1707,126,0
153,CRAVEN,N3,1484,523,113,0
154,CRAVEN,N4,2576,1529,417,1
155,CRAVEN,N5,910,1111,142,1
156,CRAVEN,N6,3599,805,251,0
157,FRANKLIN,1,936,1185,163,0
158,FRANKLIN,2,724,697,66,0
159,FRANKLIN,3,2267,1003,178,1
160,FRANKLIN,5,1665,530,139,0
161,FRANKLIN,6,937,664,92,0
162,FRANKLIN,7,1457,170,108,0
163,FRANKLIN,8,2145,599,143,0
164,FRANKLIN,9,1144,349,66,1
165,FRANKLIN,10,738,265,45,0
166,FRANKLIN,11,839,852,76,0
167,FRANKLIN,12,808,462,56,1
168,FRANKLIN,13,1526,268,120,0
169,FRANKLIN,14,3366,541,246,0
170,FRANKLIN,15,1195,1546,164,0
171,FRANKLIN,16,967,985,70,0
172,FRANKLIN,17,2888,440,196,0
173,FRANKLIN,18,2263,313,181,0
174,FRANKLIN,19,3516,777,423,0
175,GRAHAM,EAST,2441,2,105,0
176,GRAHAM,STEC,1080,0,30,0
177,GRAHAM,TAPO,477,0,17,0
178,GRAHAM,WEST,1975,2,305,0
179,GRANVILLE,ANTI,397,690,33,0
180,GRANVILLE,BERE,1008,520,48,0
181,GRANVILLE,BTNR,1640,1166,207,1
182,GRANVILLE,CORI,1351,739,84,0
183,GRANVILLE,CRDL,827,1036,81,1
184,GRANVILLE,CRDM,2781,1518,359,1
185,GRANVILLE,EAOX,890,1169,64,0
186,GRANVILLE,MTEN,3105,841,296,0
187,GRANVILLE,OKHL,705,519,36,0
188,GRANVILLE,SALM,1095,630,82,0
189,GRANVILLE,SASS,1218,597,63,0
190,GRANVILLE,SOOX,418,1094,82,1
191,GRANVILLE,TYHO,3144,638,189,0
192,GRANVILLE,WILT,4402,478,314,0
193,GRANVILLE,WOEL,597,840,77,0
194,HOKE,1,57,115,219,0
195,HOKE,2,442,659,1084,1
196,HOKE,3,281,464,284,0
197,HOKE,4,605,358,102,0
198,HOKE,5,935,524,200,0
199,HOKE,06B,2299,1381,658,0
200,HOKE,12,2630,933,522,0
201,HOKE,13,835,312,230,0
202,HOKE,14,1990,1953,702,0
203,HOKE,15,1142,938,321,0
204,HOKE,61,631,897,121,0
205,HOKE,62,487,391,102,0
206,HOKE,63,1289,1957,433,1
207,HOKE,64,980,849,196,0
208,HOKE,65,9,812,19,0
209,IREDELL,BA,3950,430,175,0
210,IREDELL,BE,4305,435,271,0
211,IREDELL,CC1,5229,625,377,0
212,IREDELL,CC2,4701,1150,405,0
213,IREDELL,CC3,6888,751,415,1
214,IREDELL,CC4,5847,352,435,0
215,IREDELL,CD,3953,417,236,0
216,IREDELL,CH-A,1850,530,119,0
217,IREDELL,CH-B,2407,278,186,1
218,IREDELL,CS,2080,370,121,0
