guidename,runtime,obs,df,sig,assymmetry,i,time,loss
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,530,1575813885.6897638,1.421116138226815
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,540,1575813885.798451,2.492040981112571
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,550,1575813885.9050794,2.4963037699909374
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,560,1575813886.011007,1.5442727891882824
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,570,1575813886.111524,1.3167954631860548
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,580,1575813886.2164013,1.7540533320007363
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,590,1575813886.3209636,3.991898386125076
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,600,1575813886.4364355,1.811484777446532
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,0,1575813886.5117154,10.868061474858585
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,10,1575813886.5519378,3.6394107108292006
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,20,1575813886.5841258,5.857942170776996
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,30,1575813886.6143107,4.222540746235091
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,40,1575813886.64448,3.958284752056714
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,50,1575813886.6746628,5.6240027289709715
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,60,1575813886.7048318,4.187915688161007
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,70,1575813886.7309558,5.700217884353977
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,80,1575813886.755889,2.4750340208915222
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,90,1575813886.775027,1.7477586424897325
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,100,1575813886.795139,5.20863722787872
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,110,1575813886.825379,2.455805859448218
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,120,1575813886.8534958,2.7138690060351474
